episode,startmin,stopmin,character,charas
6,7.916666667,8.933333333,Cosima,Cosima
6,9.416666667,12.55,Alison,Alison
6,9.966666667,10.58333333,Sarah,Sarah
6,11.7,13.13333333,Sarah,Sarah
6,13.13333333,13.78333333,Alison,Alison
6,13.86666667,14.7,Sarah,Alison
6,15.58333333,16.41666667,Sarah,Alison
6,16.41666667,18.4,Cosima,Cosima
6,19.23333333,19.53333333,Sarah,Sarah
6,19.53333333,20.36666667,Alison,Alison
6,20.61666667,22.15,Sarah,Sarah
6,20.61666667,22.15,Alison,Alison
6,22.35,24.3,Cosima,Cosima
6,24.3,25.43333333,Sarah,Alison
6,25.43333333,26.6,Cosima,Cosima
6,26.6,27.5,Sarah,Alison
6,26.66666667,26.76666667,Alison,Alison
6,27.83333333,28.4,Sarah,Sarah
6,27.83333333,28.35,Alison,Alison
6,28.96666667,29.46666667,Alison,Alison
6,30.25,32.13333333,Sarah,Sarah
6,32.13333333,32.91666667,Sarah,Alison
6,33.31666667,34.16666667,Sarah,Alison
6,35.13333333,36.15,Sarah,Sarah
6,36.15,36.21666667,Sarah,Alison
6,36.21666667,36.36666667,Sarah,Sarah
6,36.36666667,37.03333333,Alison,Alison
6,37.03333333,37.33333333,Sarah,Sarah
6,37.33333333,38.31666667,Sarah,Alison
6,38.31666667,40.06666667,Alison,Alison
6,40.06666667,41.21666667,Sarah,Sarah
7,0,0.533333333,Sarah,Sarah
7,0,0.533333333,Cosima,Cosima
7,1.166666667,1.95,Sarah,Sarah
7,1.166666667,1.95,Cosima,Cosima
7,1.95,2.55,Helena,Helena
7,2.55,3.116666667,Sarah,Sarah
7,4.483333333,4.983333333,Sarah,Sarah
7,7.55,8.583333333,Helena,Helena
7,9.233333333,9.533333333,Sarah,Sarah
7,9.533333333,11.21666667,Helena,Helena
7,11.21666667,15.95,Sarah,Sarah
7,12.9,15.86666667,Helena,Helena
7,16.9,18.45,Sarah,Sarah
7,16.9,19.08333333,Cosima,Cosima
7,20.5,20.88333333,Helena,Helena
7,20.88333333,21.73333333,Sarah,Sarah
7,21.73333333,22.2,Helena,Helena
7,22.2,24.01666667,Sarah,Sarah
7,24.01666667,24.83333333,Cosima,Cosima
7,25.43333333,26.51666667,Cosima,Cosima
7,27.83333333,28.4,Cosima,Cosima
7,28.4,29.06666667,Sarah,Sarah
7,29.26666667,30.45,Sarah,Sarah
7,30.45,31.16666667,Helena,Helena
7,30.83333333,32.58333333,Sarah,Sarah
7,32.93333333,33.36666667,Sarah,Sarah
7,33.61666667,35.31666667,Sarah,Sarah
7,35.6,35.73333333,Sarah,Sarah
7,36.06666667,36.68333333,Helena,Helena
7,36.06666667,36.68333333,Sarah,Sarah
7,37.03333333,38.1,Helena,Helena
7,38.08333333,38.21666667,Sarah,Sarah
7,38.83333333,38.9,Sarah,Sarah
7,39.1,39.46666667,Helena,Helena
7,39.46666667,40.33333333,Sarah,Sarah
7,40.33333333,41.4,Cosima,Cosima
8,0.916666667,2.583333333,Sarah,Sarah
8,2.083333333,2.983333333,Alison,Alison
8,4.683333333,6.033333333,Sarah,Sarah
8,4.683333333,5.466666667,Cosima,Cosima
8,6.033333333,7.266666667,Alison,Alison
8,9.033333333,10.08333333,Helena,Helena
8,10.08333333,11.58333333,Sarah,Sarah
8,12.38333333,13.53333333,Sarah,Beth
8,13.53333333,14.5,Alison,Alison
8,14.5,15.35,Sarah,Beth
8,15.6,16.55,Alison,Alison
8,17.85,19.45,Alison,Alison
8,19.45,21.68333333,Cosima,Cosima
8,21.68333333,23.46666667,Alison,Alison
8,24.33333333,26.48333333,Sarah,Sarah
8,24.8,26.48333333,Alison,Alison
8,26.48333333,26.91666667,Helena,Helena
